title,image_url,about,summary,wikipedia_url,no_of_reviews,review
Maasai Mara National Reserve,https://t0.gstatic.com/images?q=tbn:ANd9GcQ5srdXKNIbPNn1FaSyA0nn8ZWLOVI9ZmaFJKF-svhvvBHPIh6jBUrXNE1OZlMEactpUkVJ3oL_2i_EWD_5zD_9cA,Wildebeest migration & Maasai villages,"Maasai Mara, also sometimes spelled Masai Mara and locally known simply as The Mara, is a large national game reserve in Narok, Kenya, contiguous with the Serengeti National Park in Tanzania. It is named in honor of the Maasai people, the ancestral inhabitants of the area, who migrated to the area from the Nile Basin. Their description of the area when looked at from afar: ""Mara"" means ""spotted"" in the local Maasai language, due to the many short bushy trees which dot the landscape.
Maasai Mara is one of the most famous and important wildlife conservation and wilderness areas in Africa, world-renowned for its exceptional populations of lion, African leopard, cheetah and African bush elephant. It also hosts the Great Migration, which secured it as one of the Seven Natural Wonders of Africa, and as one of the ten Wonders of the World. 
The Greater Mara ecosystem encompasses areas known as the Maasai Mara National Reserve, the Mara Triangle, and several Maasai Conservancies, including Koiyaki, Lemek, Ol Chorro Oirowua, Mara North, Olkinyei, Siana, Maji Moto, Naikara, Ol Derkesi, Kerinkani, Oloirien, and Kimintet.",https://en.wikipedia.org/wiki/Maasai_Mara,293,4.8
Amboseli National Park,https://t0.gstatic.com/images?q=tbn:ANd9GcRw_pngO__NFR8FbOOGSyR9kqwWbIcwaijwflf8BxTW0qqv-cC2qAPg7xzWVeXhSQW-CRJtjcjN5Rnd_kZ8rIZ9rg,Elephants & views of Mount Kilimanjaro,"Amboseli National Park, formerly Maasai Amboseli Game Reserve, is a national park in Kajiado South Constituency in Kajiado County, Kenya. The park is 39,206 hectares (392 km2; 151 sq mi) in size at the core of an 8,000 km2 (3,100 sq mi) ecosystem that spreads across the Kenya-Tanzania border. The local people are mainly Maasai, but people from other parts of the country have settled there attracted by the successful tourist-driven economy and intensive agriculture along the system of swamps that makes this low-rainfall area, average 350 mm (14 in), one of the best wildlife-viewing experiences in the world with 400 species of birds including water birds like pelicans, kingfishers, crakes, hamerkop and 47 raptor species.The park protects two of the five main swamps, and includes a dried-up Pleistocene lake and semiarid vegetation.
About 240 km (150 mi) southeast of Nairobi, Amboseli National Park is the second-most popular national park in Kenya after Maasai Mara National Reserve.

",https://en.wikipedia.org/wiki/Amboseli_National_Park,"2,958",4.7
Lake Nakuru,https://t0.gstatic.com/images?q=tbn:ANd9GcRp1JKqMOQb7gB3QnFlY5zfhMr6OPST7cXDHu65Pit8WemULEXHmOs42ES4N_KOy7pUPF90qr2jXygsMuwNnqlDSg,Lake with flamingos in a national park,"Lake Nakuru is one of the Rift Valley soda lakes at an elevation of 1,754 m (5,755 ft) above sea level. It lies to the south of Nakuru, in the rift valley of Kenya and is protected by  Lake Nakuru National Park.
The lake's abundance of algae used to attract a vast quantity of flamingos that famously lined the shore. Other birds also flourish in the area, as do warthogs, baboons and other large mammals. Eastern black rhinos and southern white rhinos have also been introduced.
The lake's level dropped dramatically in the early 1990s but has since largely recovered. In 2013, the lake received an alarming increase in the water levels that led to the migration of flamingos to Lake Bogoria in search for food supply.Nakuru means ""Dust or Dusty Place"" in the Maasai language. Lake Nakuru National Park, close to Nakuru town, was established in 1961. It started off small, only encompassing the famous lake and the surrounding mountainous vicinity, but has since been extended to include a large part of the savannahs.
Lake Nakuru is protected under the Ramsar Convention on wetlands.",https://en.wikipedia.org/wiki/Lake_Nakuru,194,4.3
Samburu Trails,https://t2.gstatic.com/images?q=tbn:ANd9GcQBW5Zr56k25ffBq9p3LOsGRGhD9rZtNAp24XhTCHv1M4nY85H2F9Dr9qH25FKbnYr_CGg3tuh85jZJEPjruI57IA,Conservation area teeming with wildlife,"Samburupithecus is an extinct primate that lived in Kenya during the middle to late Miocene.  The one species in this genus, Samburupithecus kiptalami, is known only from a maxilla fragment dated to 9.5 million years ago discovered in 1982 and formally described by Ishida & Pickford 1997.  The type specimen KNM-SH 8531 was discovered by the Joint Japan-Kenya Expedition at the SH22 fossil site in the Samburu District, a locality where several other researchers found no ape fossils.Samburupithecus lived during the so-called ""African ape gap"" 14 to 7 Ma, a period from which very few hominoid fossils have been found in Africa until relatively recently.  This apparent gap, however, is now populated by a diversity of apes such as Nakalipithecus,  Chororapithecus abyssinicus, Otavipithecus, and Nacholapithecus.",https://en.wikipedia.org/wiki/Samburupithecus,488,4.5
Tsavo East National Park,https://t3.gstatic.com/images?q=tbn:ANd9GcTqzKf2DxAwd2Ys4VmfWfEwOsnVHtQ8xYkEWdOl_7q71fY8ezX14aQ3ftUhb1usgRWjQMX1Iy5brADwJkLEFArWkA,Sprawling wildlife reserve since 1948,"Tsavo East National Park is one of the oldest and largest parks in Kenya at 13,747 square kilometres. Situated in a semi-arid area previously known as the Taru Desert it opened in April 1948, and is located near the town of Voi in the Taita-Taveta County of the former Coast Province. The park is divided into east and west sections by the A109 road and a railway. Named for the Tsavo River, which flows west to east through the national park, it borders the Chyulu Hills National Park, and the Mkomazi Game Reserve in Tanzania.

",https://en.wikipedia.org/wiki/Tsavo_East_National_Park,"5,067",4.5
The Maasai Market,https://lh5.googleusercontent.com/p/AF1QipPW859WgAOIhZWea6DkQogYe0iveWA872gkU44_=w464-h260-n-k-no,Outdoor bazaar with bright handicrafts,"The Village Market is a large shopping, recreation and entertainment complex in the Kenyan capital,  Nairobi.  It accommodates over 150 stores outlets covering 210,000 square feet (20,000 m2) of retail space, 20,000 square feet (1,900 m2) square feet of office space, in addition to recreation and entertainment facilities.
The Village Market is located in the Gigiri residential area which is about 6 miles (9.7 km) from Nairobi city center on Limuru Road. The complex is designed to resemble an open-air African market, including waterfalls, rivers, plants and gardens.

",https://en.wikipedia.org/wiki/The_Village_Market,"2,959",4.3
Mount Kenya,https://t1.gstatic.com/images?q=tbn:ANd9GcR6FCymxO6259ipY-O-zyj80JSfMNp7mZmDJ475WIEgVLWKWMXum55fnB-Gj5NIhwnzgMW-762l87RXCBczorQlkw,Mountain peak with trails & camping,"Mount Kenya is the highest mountain in Kenya and the second-highest in Africa, after Kilimanjaro. The highest peaks of the mountain are Batian (5,199 metres or 17,057 feet), Nelion (5,188 m or 17,021 ft) and Point Lenana (4,985 m or 16,355 ft). Mount Kenya is located in the former Eastern and Central provinces of Kenya, now Meru, Embu, Laikipia, Kirinyaga, Nyeri and Tharaka Nithi counties, about 16.5 kilometres (10 1⁄4 miles) south of the equator, around 150 km (90 mi) north-northeast of the capital Nairobi. Mount Kenya is the source of the name of the Republic of Kenya.
Mount Kenya is a stratovolcano created approximately 3 million years after the opening of the East African Rift. Before glaciation, it was 7,000 m (23,000 ft) high. It was covered by an ice cap for thousands of years. This has resulted in very eroded slopes and numerous valleys radiating from the centre. There are currently 11 small glaciers, which are shrinking rapidly, and may be gone forever by 2050. The forested slopes are an important source of water for much of Kenya.There are several vegetation bands from the base to the summit. The lower slopes are covered by different types of forest. Many alpine species are endemic to Mount Kenya, such as the giant lobelias and senecios and a local subspecies of rock hyrax. An area of 715 km2 (276 sq mi) around the centre of the mountain was designated a National Park and listed as a UNESCO World Heritage Site in 1997. The park receives over 16,000 visitors per year.",https://en.wikipedia.org/wiki/Mount_Kenya,268,4.5
Lake Bogoria,https://t1.gstatic.com/images?q=tbn:ANd9GcQssfS0lVTwST_I886WF0cJvKsLvKOFwkKQycEbY4SEpX-58PhlkFfvaGWaCwA49o6WXrFwQ5LS_9IE-UlsT4hVAQ,Salt lake with geysers & flamingos,"Lake Bogoria (formerly Lake Hannington) is a saline, alkaline lake that lies in a volcanic region in a half-graben basin south of Lake Baringo, Kenya, a little north of the equator. Lake Bogoria, like Lake Nakuru, Lake Elementeita, and Lake Magadi further south in the Rift Valley, and Lake Logipi to the north, is home at times to one of the world's largest populations of lesser flamingos. The lake is a Ramsar site and Lake Bogoria National Reserve has been a protected National Reserve since November 29, 1973. Lake Bogoria is shallow (about 10 m depth), and is about 34 km long by 3.5 km wide, with a drainage basin of 700 km2. It is Located in Baringo County.

Local features include the Kesubo Swamp to the north and the Siracho Escarpment to the east, both within the National Reserve. The lake is also famous for geysers and hot springs along the bank of the lake and in the lake. In four locations around the lake can be observed at least 10 geysers, which erupt up to 5 m high. Geyser activity is affected by the fluctuations of lake level, which may inundate or expose some geysers.",https://en.wikipedia.org/wiki/Lake_Bogoria,166,4.1
Tsavo West National Park,https://t0.gstatic.com/images?q=tbn:ANd9GcS08iHDxz2B3S8XYg5GFBxTGupIQWPtlkdUv6zlV593gstnr5NUFPb1bbV-rru8-r52C5ChynHievXQdQtamIrb0A,Wilderness park for wild game viewing,"Tsavo West National Park is located in the Coast Province of Kenya. The park covers an area of 9,065 square kilometres. The A109 road Nairobi-Mombasa and a railway divides it from the adjoining Tsavo East National Park. Together with adjoining ranches and protected areas, they comprise the Tsavo Conservation Area. Tsavo West is a more popular destination on account of its magnificent scenery, Mzima Springs, rich and varied wildlife, good road system, rhino reserve, rock climbing potential and guided walks along the Tsavo River. The park is operated by Kenya Wildlife Service.",https://en.wikipedia.org/wiki/Tsavo_West_National_Park,"2,956",4.5
Hells Gate National Park,https://t1.gstatic.com/images?q=tbn:ANd9GcQdRWbOlzh-eN4Ln-FiVHyzOJzapSqapIVkaju-BhutbvpjT9Hqutw6Hig73WzZF6L2pexSPPmwQoQL9U7oiX0W9g,Savannah ecosystem with rock climbing,"Hell's Gate National Park lies south of Lake Naivasha in Kenya, north west of Nairobi. Hell's Gate National Park is named after a narrow break in the cliffs, once a tributary of a prehistoric lake that fed early humans in the Rift Valley. It was established in 1984. A small national park, it is known for its wide variety of wildlife and for its scenery. This includes the Fischer's Tower and Central Tower columns and Hell's Gate Gorge. The national park is also home to three geothermal power stations at Olkaria. The park is equipped with three basic campsites and includes a Maasai Cultural Center, providing education about the Maasai tribe's culture and traditions.

",https://en.wikipedia.org/wiki/Hell%27s_Gate_National_Park,"2,712",4.5
