title,image_url,about,summary,wikipedia_url,no_of_reviews,review
Diani Beach,https://t3.gstatic.com/images?q=tbn:ANd9GcQrCxEt66eoUidLquf9C0spMqpLJEh7FXL2pYOniNnGFb-5HDZGDjVmO92P5l-8vYIVyj2R13ZSFbo-sQawRuGBrQ,White-sand beach in a tropical locale,"Diani Beach is a major beach on the Indian Ocean coast of Kenya (in eastern Africa). It is located 30 kilometres (19 mi) south of Mombasa, in Kwale County.
It has been voted Africa's leading beach destination for the fifth time running since 2015.",https://en.wikipedia.org/wiki/Diani_Beach,638,4.6
Watamu Beach,https://t2.gstatic.com/images?q=tbn:ANd9GcTHdghqiYYwxAgv3mGN5oNVN7OmAeb-JMghy3bQvUwpPAPkePRaJLr0R84n1F7oILqnc1QubzFnotdl7gAKbzZE2Q,Calm beach known for sea life & corals,"Watamu is a small town located approximately 105 km north of Mombasa and about 15 km south of Malindi on the Indian Ocean coast of Kenya.  It lies on a small headland, between the Blue Lagoon and Watamu Bay.  Its main economic activities are tourism and fishing. The town has a population of around 30,000 in 2020 and it is part of the Kilifi County.

",https://en.wikipedia.org/wiki/Watamu,327,4.6
Nyali Beach,https://t0.gstatic.com/images?q=tbn:ANd9GcTSTua1Z_yVcRIQr0wDLVWoSsLGMTW4KeGdISmbhPteUbzOQ4lvIVlCkAM-ioxCRF1faOemyV-MHF5fIA,White sand beach for swimming & picnics,"Nyali is a residential area and Sub-County within Mombasa City, located on the mainland north of Mombasa County. It is connected to Mombasa Island by the New Nyali Bridge. 
Nyali is known for its many high-class hotels and residential houses, modern standards, and long white sand beaches making it a popular destination for both local and foreign tourists.",https://en.wikipedia.org/wiki/Nyali,370,4.4
Chale Island,https://t1.gstatic.com/images?q=tbn:ANd9GcSPoh7mU_lBYbpz0y07IL2CN6SZjTlWUB7uUj0wY3ckcSggQQkIxmvhR7YJTYafiTN7hXRtRl-7OBZfHrw6ju2v3g,Picturesque headland with a beach,"Chale Island is a headland rather than an island, located at the northern end of Msambweni Bay in Kwale County in southeastern Kenya. Chale Island is known as a sacred kaya (worshipping place).",https://en.wikipedia.org/wiki/Chale_Island,74,4.7
Wasini Island,https://lh5.googleusercontent.com/p/AF1QipPlkaeTrG62-X4G7yabc0XRnfIift0Wij2WPIqV=w464-h260-n-k-no,Tiny pedestrian island & snorkeling spot,"Wasini Island lies in southeast Kenya 3 kilometres (1.9 mi) off the coast of the Indian Ocean, 75 kilometres (47 mi) south of Mombasa, and 3 kilometres (1.9 mi) opposite the harbour of the village Shimoni. It is approximately 7 kilometres (4.3 mi) long and 3 kilometres (1.9 mi) across. the name ""wasini mpunguti"" came from the early inhabitants who originally were the Chinese they were short Chinese, hence the name wasini mpunguti which to the locals, means short Chinese. The island has only footpaths of sharp old coral or sand. There are no cars, carts or bicycles. Cargo is transported by foot or by a wheelbarrow with a solid tyre. Transport is over the paths, or via the beaches, mainly consisting of coral and only passable with low tide, or by boat over the sea. Before 1963, in the British colonial time, there was an airstrip in the lagoon situated longitudinal south on the island; only small parts of tarmac are reminders of this history.",https://en.wikipedia.org/wiki/Wasini_Island,270,4.4
Mombasa Beach,https://t2.gstatic.com/images?q=tbn:ANd9GcSzpdDWpHepci6FhHGfY5HDbH6X87DFng3AW_GSoUcEmQmxJCxNw4E-0fJDCkWsw1utliJ-7LEvyykw_w,Chill beach for swimming & local seafood,"Mombasa ( mom-BASS-ə, also US:  -⁠BAH-sə) is a coastal city in southeast Kenya along the Indian Ocean. The city is known as the white and blue city in Kenya. It is the country's oldest (circa 900 AD) and second-largest city (after the capital Nairobi), with a population of about 1,208,333 people according to the 2019 census. Its metropolitan region is the second-largest in the country, and has a population of 3,528,940 people.Mombasa is a tourism-based city; it has an extra-large port and an international airport, and is an important regional tourism centre. Located on the east coast of Kenya, it also is the home of one of the state houses, and is considered by some as a second capital in all but name. In 2018 the local government released an edict in which the city was painted white with blue accents and the old town was painted yellow. In Mombasa County and the former Coast Province, Mombasa's situation on the Indian Ocean made it a historical trading centre, and it has been controlled by many countries because of its strategic location.",https://en.wikipedia.org/wiki/Mombasa,87,4.3
Jomo Kenyatta Public Beach,https://t3.gstatic.com/images?q=tbn:ANd9GcTsefWJ7LLOSWB0jGaaFdb7Glue7g1t_4e8RB5FAnM_lpG2KEyWbK_4Jf3ZE53hseLl_StqyZUUNe-LEQ,Hopping spot with swimming & nightlife,"Jomo Kenyatta (c. 1897 – 22 August 1978) was a Kenyan anti-colonial activist and politician who governed Kenya as its Prime Minister from 1963 to 1964 and then as its first President from 1964 to his death in 1978. He was the country's first indigenous head of government and played a significant role in the transformation of Kenya from a colony of the British Empire into an independent republic. Ideologically an African nationalist and conservative, he led the Kenya African National Union (KANU) party from 1961 until his death.
Kenyatta was born to Kikuyu farmers in Kiambu, British East Africa. Educated at a mission school, he worked in various jobs before becoming politically engaged through the Kikuyu Central Association. In 1929, he travelled to London to lobby for Kikuyu land affairs. During the 1930s, he studied at Moscow's Communist University of the Toilers of the East, University College London, and the London School of Economics. In 1938, he published an anthropological study of Kikuyu life before working as a farm labourer in Sussex during the Second World War. Influenced by his friend George Padmore, he embraced anti-colonialist and Pan-African ideas, co-organising the 1945 Pan-African Congress in Manchester. He returned to Kenya in 1946 and became a school principal. In 1947, he was elected President of the Kenya African Union, through which he lobbied for independence from British colonial rule, attracting widespread indigenous support but animosity from white settlers. In 1952, he was among the Kapenguria Six arrested and charged with masterminding the anti-colonial Mau Mau Uprising. Although protesting his innocence—a view shared by later historians—he was convicted. He remained imprisoned at Lokitaung until 1959 and was then exiled to Lodwar until 1961.
On his release, Kenyatta became President of KANU and led the party to victory in the 1963 general election. As Prime Minister, he oversaw the transition of the Kenya Colony into an independent republic, of which he became president in 1964. Desiring a one-party state, he transferred regional powers to his central government, suppressed political dissent, and prohibited KANU's only rival—Oginga Odinga's leftist Kenya People's Union—from competing in elections. He promoted reconciliation between the country's indigenous ethnic groups and its European minority, although his relations with the Kenyan Indians were strained and Kenya's army clashed with Somali separatists in the North Eastern Province during the Shifta War. His government pursued capitalist economic policies and the ""Africanisation"" of the economy, prohibiting non-citizens from controlling key industries. Education and healthcare were expanded, while UK-funded land redistribution favoured KANU loyalists and exacerbated ethnic tensions. Under Kenyatta, Kenya joined the Organisation of African Unity and the Commonwealth of Nations, espousing a pro-Western and anti-communist foreign policy amid the Cold War. Kenyatta died in office and was succeeded by Daniel arap Moi.
Kenyatta was a controversial figure. Prior to Kenyan independence, many of its white settlers regarded him as an agitator and malcontent, although across Africa he gained widespread respect as an anti-colonialist. During his presidency, he was given the honorary title of Mzee and lauded as the Father of the Nation, securing support from both the black majority and the white minority with his message of reconciliation. Conversely, his rule was criticised as dictatorial, authoritarian, and neo-colonial, of favouring Kikuyu over other ethnic groups, and of facilitating the growth of widespread corruption.",https://en.wikipedia.org/wiki/Jomo_Kenyatta,230,4.1
Galu Kinondo Beach,https://t2.gstatic.com/images?q=tbn:ANd9GcTvQwwQdUEZSZPfnUYSmYMUF9YWmE7pbY1qszFGz6LimMwOAXqQ-DskC6yD7J2AF0CmW8D9WZvTkz8v_vdDKyDhGA,Beach,,,56,4.8
Shanzu Beach,https://lh5.googleusercontent.com/p/AF1QipOfs3AJ69_-yFuCM2FepxAp65r_00h12vPE0muo=w464-h260-n-k-no,Beach,"Shanzu is a suburb of Mombasa, Kenya. Shanzu is located in Mombasa, off the Mombasa-Malindi highway. Shanzu Beach has a number of popular hotels, bars and restaurants and is within easy reach of Mombasa, Bamburi, Nyali and Mtwapa.",https://en.wikipedia.org/wiki/Shanzu,9,5.0
Kisite-Mpunguti Marine National Park,https://lh5.googleusercontent.com/p/AF1QipNEfLybdc3uVtc-TJ60hZjb6tyd0pAknOgfpZR0=w464-h260-n-k-no,Marine park with wildlife-rich reefs,"Kisite-Mpunguti Marine National Park is situated on the southern coast of Kenya near Shimoni and south of Wasini Island in Kwale District near the Tanzanian border. Kisite park covers 11 square kilometres while Mpunguti reserve covers 28 square kilometres.The park covers an area with four small islands surrounded by coral reef.
Marine life is in abundance, including trigger fish, moray eels, angelfish, butterfly fish, groupers, parrotfish, wrasses, scorpionfish, pufferfish, damselfish, rays, snappers, green sea turtles,  hawksbill turtles, and dolphins. Humpback whales and whale sharks are seasonal.",https://en.wikipedia.org/wiki/Kisite-Mpunguti_Marine_National_Park,510,4.6
