title,image_url,about,summary,wikipedia_url,no_of_reviews,review
Karen Blixen Museum,https://t3.gstatic.com/images?q=tbn:ANd9GcQEqd1rNOudgIj_EThYd1vMaRbjAobD03cUTCNC95azMvZWXuaTJ48OLhaaEv-XbjwEo4tGeA0yaF8LzkL3ID2pjw,'Out Of Africa' author Blixen's old home,"The Karen Blixen Museum, located 10 km outside of Nairobi, Kenya, ""at the foot of the Ngong Hills"", is the former African home of Danish author Karen Blixen, famous for her 1937 book Out of Africa which chronicles life at the estate.",https://en.wikipedia.org/wiki/Karen_Blixen_Museum_(Kenya),"1,792",4.4
Fort Jesus,https://t1.gstatic.com/images?q=tbn:ANd9GcTeCoGtPiXSCArqA4-gri8Xnpk3ZALpverFunKgJneeaGHOGM7gKLoBbxgpOw2phj5C7jhs0tvYz4hnl_1R1eXwJg,Archeology museum in 16th-century fort,"Fort Jesus (Portuguese: Forte Jesus de Mombaça) is a fort located on Mombasa Island. Designed by Italian Giovanni Battista Cairati, it was built between 1593 and 1596, by order of King Philip I of Portugal, to guard the Old Port of Mombasa. Fort Jesus was the only fort maintained by the Portuguese on the Swahili coast, and is recognised as a testament to the first successful attempt by a Western power to establish influence over the Indian Ocean trade.Cairato, the designer of the fort, was inspired by Italian architect Pietro Cataneo, while the master builder was Gaspar Rodrigues. The fort was Cairato's last overseas work. Although the design of Fort Jesus is an example of Renaissance architecture, the masonry techniques, building materials and labour are believed to have been provided by the local Swahili people. The fort was built in the shape of a man (viewed from the air) and is roughly square, with four bulwarks at its corners. The fort is considered a masterpiece of late Renaissance military fortification.
Fort Jesus was captured and recaptured at least nine times between 1631, when the Portuguese lost it to the Sultan Yusuf ibn al-Hasan of Mombasa, and 1895 when it fell under British rule and was converted into a prison. After the Portuguese recaptured it from the Sultan in 1632, they refurbished it and built more fortifications, subsequently making it harder for the fort to fall. The fort was subject to an epic two-year siege from 1696-98 by the Omani Arabs, led by Saif bin Sultan. The capture of the fort marked the end of Portuguese presence on the coast, although they briefly captured and re-occupied it between 1728 and 1729 with the help of the Swahili city-states. The fort fell under local rule from 1741 to 1837, when it was again captured by the Omanis and used as a barracks, before its occupation by the British in 1895, after the declaration of the Protectorate of Kenya.
Fort Jesus was declared a national park in 1958, and in 2011, it was declared a World Heritage Site by UNESCO and highlighted as one of the most outstanding and well-preserved examples of 16th-century Portuguese military fortifications. The fort is Mombasa's most visited tourist attraction.",https://en.wikipedia.org/wiki/Fort_Jesus,"5,443",4.4
Kenya Railway Museum,https://lh5.googleusercontent.com/p/AF1QipPs04hpd8dUb73sc5Z3AxWL7op-M1gQ9r85Y8x9=w464-h260-n-k-no,Museum with trains & a mini railroad,"The Nairobi Railway Museum is a railway museum in Nairobi, Kenya, adjacent to Nairobi railway station.  Containing exhibits from the defunct East African Railways, it was opened in 1971 by East African Railways and Harbours Corporation. It is operated by Kenya Railways.

The museum has maintained its rail connection. This allows for the efficient movement of museum exhibits for maintenance and placing items in the collection.
The three operational steam locomotives are stored securely under cover within the main railway works. Visitors must request an appointment to view them. They have not been used for several years. One of the display locomotives, 301 (2301) was used in the 1985 movie, Out of Africa.
The museum's collection also includes early diesel locomotives and passenger coaches. Friends of the Railway Museum East Africa (FORM East Africa), a concern encompassing Railway and Locomotive enthusiasts, has assisted in sourcing and securing artifacts for the museum.In January 2011, a working miniature railway was installed to enhance activity at the museum. This miniature train was formerly used to promote Kenya Railways (KR) on exhibitions, such as the Nairobi Show. It consists of a locomotive with a petrol-engine, and several coaches made of wood.",https://en.wikipedia.org/wiki/Nairobi_Railway_Museum,735,4.4
Kenya Museum Society,https://lh5.googleusercontent.com/p/AF1QipMq0ViLGKlRlnr-4_XW7Ty9cX6q7zZaBkdMH7yv=w464-h260-n-k-no,Museum of East African history,"The National Museums of Kenya (NMK) is a state corporation that manages museums, sites and monuments in Kenya. It carries out heritage research, and has expertise in subjects ranging from palaeontology, ethnography and biodiversity research and conservation. Its headquarters and the National Museum (Nairobi National Museum) are located on Museum Hill, near Uhuru Highway between Central Business District and Westlands in Nairobi. The National Museum of Kenya was founded by the East Africa Natural History Society (E.A.N.H.S.) in 1910; the Society's main goal has always been to conduct an ongoing critical scientific examination of the natural attributes of the East African habitat. The museum houses collections, and temporary and permanent exhibits. Today the National Museum of Kenya manages over 22 regional museums, many sites, and monuments across the country.",https://en.wikipedia.org/wiki/National_Museums_of_Kenya,"7,046",4.4
Kisumu Museum,https://lh5.googleusercontent.com/p/AF1QipOYrD5UXbeqgZghvaSTw_4CBHmUn0xsHEM4uvMW=w464-h260-n-k-no,Museum,"The Kisumu Museum is a museum located in Kisumu, Kenya. Its exhibits focus on the natural and cultural history of Western Kenya. It features a collection of local flora and fauna, as well as a traditional Luo homestead.

The museum was opened 1980.",https://en.wikipedia.org/wiki/Kisumu_Museum,580,4.1
Lamu Museum,https://lh5.googleusercontent.com/p/AF1QipOQZmHRGkP2wbgwWBvfyb2Cv4a8CoBRtc84QDCd=w464-h260-n-k-no,Museum,"Lamu or Lamu Town is a small town  on Lamu Island, which in turn is a part of the Lamu Archipelago in Kenya. Situated 341 kilometres (212 mi) by road northeast of Mombasa that ends at Mokowe Jetty, from where the sea channel has to be crossed to reach Lamu Island. It is the headquarters of Lamu County and a UNESCO World Heritage site.
The town contains the Lamu Fort on the seafront, constructed under Fumo Madi ibn Abi Bakr, the sultan of Pate, and was completed after his death in the early 1820s. Lamu is also home to 23 mosques, including the Riyadha Mosque, built in 1900, and a donkey sanctuary.

",https://en.wikipedia.org/wiki/Lamu,162,4.1
Malindi Museum,https://lh5.googleusercontent.com/p/AF1QipM3_6vXnBMd0WJCsvZWjz0-LoqjDeGG6EKvm14Z=w464-h260-n-k-no,Museum,"The Malindi Museum is a museum located in Malindi, Kenya. The museum features temporary exhibits including famous Malindi Coelacanth.The museum is located in the two story building dating from 1891 also known as House of Columns. It has terraced roof and veranda and for many years served as the first hospital of Malindi. On the east facade there is a colonnade featuring five round pillars. The architecture of the building is similar to that of the former Malindi District Commissioner building erected in 1890. In 1999 the House of Columns was transferred to the National Museum of Kenya and a restoration opened in 2004 as museum.The Malindi District Commissioner building has been housing Ethnographic Museum of coastal Kenya since 2009.",https://en.wikipedia.org/wiki/Malindi_Museum,101,3.9
Kitale Museum,https://lh5.googleusercontent.com/p/AF1QipMQMgmZOYT8vrJ77n0frNSZm0_ax3o0-DLY0OHx=w464-h260-n-k-no,Museum,"First opened in 1924 to the public, the Kitale Museum is the first domestic museum opened in Kenya. Originally known as the Stoneham Museum, which was named after Colonel Hugh Stoneham who had been a large contributor and collector of the artifacts held within the museum up until his death in 1966. It was later renamed the Kitale Museum when it was established by the National Museums of Kenya in 1974.

The Kitale Museum used to be a privately owned museum prior to the death of Colonel Stoneham. After he died he willed funds as well as his entire collection, which included an extensive insect collection to the Kenyan government so that they could establish a national museum. In 1974 a new museum building was founded in Kitale on 5 acres of land making the Kitale Museum the first regional museum to become a part of the Kenya Museum Society.Kitale Museum is located in western Kenya in Trans-Nzoia County. It is exactly 380 kilometres northwest from the nation's capital, Nairobi. The museum is 1 km west of the town centre on the outskirts of Kitale.
A majority of the collections within the museum are items gathered from various tribes within Kenya such as the Luyha, Maasai and the Turkana. The museum displays their traditional Kenyan homes, weaponry, utensils and native musical instruments. The museum also includes a nature trail, which was created in 1977 and is located towards the back of the museum. This nature trail conserves various rare plants and animals. It is a serene makeshift rainforest that allows visitors of the museum to experience what it's like to be inside an actual Kenyan rainforest. The museum also holds animals such as Nile crocodiles, leopard tortoises and various poisonous snakes such as the puff adder, rock python, Gaboon viper and the rhinoceros viper.",https://en.wikipedia.org/wiki/Kitale_Museum,325,3.9
Baden-Powell Museum,https://lh5.googleusercontent.com/p/AF1QipMfLyAcyZGGN1_K9bpTVHdJ3IxkYAe-SjonRH8E=w464-h260-n-k-no,Museum,"Lieutenant General Robert Stephenson Smyth Baden-Powell, 1st Baron Baden-Powell,  ( BAY-dən POH-əl; 22 February 1857 – 8 January 1941), was a British Army officer, writer, founder and first Chief Scout of the world-wide Scout Movement, and founder, with his sister Agnes, of the world-wide Girl Guide / Girl Scout Movement. Baden-Powell authored the first editions of the seminal work Scouting for Boys, which was an inspiration for the Scout Movement.Educated at Charterhouse School, Baden-Powell served in the British Army from 1876 until 1910 in India and Africa. In 1899, during the Second Boer War in South Africa, Baden-Powell successfully defended the town in the Siege of Mafeking. Several of his books, written for military reconnaissance and scout training in his African years, were also read by boys. In August 1907, he held a demonstration camp, the Brownsea Island Scout camp, which is now seen as the beginning of Scouting. Based on his earlier books, particularly Aids to Scouting, he wrote Scouting for Boys, published in 1908 by Sir Arthur Pearson, for boy readership. In 1910 Baden-Powell retired from the army and formed The Scout Association.
The first Scout Rally was held at The Crystal Palace in 1909. Girls in Scout uniform attended, telling Baden-Powell that they were the ""Girl Scouts"". In 1910, Baden-Powell and his sister Agnes Baden-Powell started the Girl Guide and Girl Scout. In 1912 he married Olave St Clair Soames. He gave guidance to the Scout and Girl Guide movements until retiring in 1937. Baden-Powell lived his last years in Nyeri, Kenya, where he died and was buried in 1941.  His grave is a national monument.","https://en.wikipedia.org/wiki/Robert_Baden-Powell,_1st_Baron_Baden-Powell",77,4.0
Narok Museum,https://lh5.googleusercontent.com/p/AF1QipOLoS0DDBdmrzr5iTEIx_E1xVCxGMT9hPB0UmsN=w464-h260-n-k-no,Museum,"The Narok Museum is a museum located in Narok, Kenya. Its exhibits focus on Maasai cultural heritage, as well as other Maa-speaking cultures, including the Samburu, Njemps and Ndorobo peoples.",https://en.wikipedia.org/wiki/Narok_Museum,162,3.7
National Museums of Kenya-Rabai Museum,https://lh5.googleusercontent.com/p/AF1QipMQT7lJEzZa5QB2yQ2-VeGsqxBfX0UYQRZ5qHIJ=w464-h260-n-k-no,Museum,This is a list of museums in Kenya. Many of these national and provincial museums are administered by the National Museums of Kenya (NMK).,https://en.wikipedia.org/wiki/List_of_museums_in_Kenya,31,4.3
Kapenguria Museum,https://lh5.googleusercontent.com/p/AF1QipN4M2ZBoQb6AYMy3YZEPjEgnfJgmiPcQ5JqAwI-=w464-h260-n-k-no,Museum,"The Kapenguria Museum is a museum located in Kapenguria, Kenya. The museum is located inside the prison where prominent leaders of the Kenyan independence movement (the Kapenguria Six: Jomo Kenyatta, Kungu Karumba, Fred Kubai, Paul Ngei, Bildad Kaggia and Ramogi Achieng Oneko) were held and put on trial in 1952/3. The museum features galleries in the former cells of the prison, including displays on these leaders and the struggle against colonialism, and houses a memorial library in their honour.
The museum also features ethnographic galleries about the Pokot people.
It was opened as a museum in 1993.",https://en.wikipedia.org/wiki/Kapenguria_Museum,45,4.2
Meru Museum,https://lh5.googleusercontent.com/p/AF1QipPh4pXnrTpCCV9A6hQutLZ4XP3d3eYJatVdGz3z=w464-h260-n-k-no,Museum,"The Meru Museum is a museum located in Meru, Kenya. Its exhibits focus on the cultural history and practices of the Meru people.",https://en.wikipedia.org/wiki/Meru_Museum,98,3.8
Nairobi Gallery,https://lh5.googleusercontent.com/p/AF1QipMlD6OFIbgnKNydlnNNq35x_MVyBP-XoCqmV5g0=w464-h260-n-k-no,"Art, museum, and art museum","Nairobi () is the capital and the largest city of Kenya. The name comes from the Maasai phrase Enkare Nairobi, which translates to ""cool water"", a reference to the Nairobi River which flows through the city. The city proper had a population of 4,397,073 in the 2019 census, while the metropolitan area has a population of 9,354,580. The city is popularly referred to as the Green City in the Sun.Nairobi was founded in 1899 by the colonial authorities in British East Africa, as a rail depot on the Uganda Railway. The town quickly grew to replace Mombasa as the capital of Kenya in 1907. After independence in 1963, Nairobi became the capital of the Republic of Kenya. During Kenya's colonial period, the city became a centre for the colony's coffee, tea and sisal industry. The city lies in the south central part of Kenya, at an elevation of 1,795 metres (5,889 ft).According to the 2019 census, in the administrative area of Nairobi, 4,397,073 inhabitants lived within 696 km2 (269 sq mi).Home to thousands of Kenyan businesses and over 100 major international companies and organizations, including the United Nations Environment Programme (UN Environment) and the United Nations Office at Nairobi (UNON), Nairobi is an established hub for business and culture. The Nairobi Securities Exchange (NSE) is one of the largest in Africa and the second-oldest exchange on the continent. It is Africa's fourth-largest exchange in terms of trading volume, capable of making 10 million trades a day. It also has the Nairobi National Park with a large game reserve.

",https://en.wikipedia.org/wiki/Nairobi,377,4.3
Kabarnet Museum,https://lh5.googleusercontent.com/p/AF1QipNbmHgeZl4kqT0ntIvCRMCa3CHaMlZZ9_vA2eTy=w464-h260-n-k-no,Museum,"The Kabarnet Museum is a museum located in Kabarnet, Kenya. It features galleries relating to the Great Rift Valley and its peoples, including the Keiyo / Marakwet, Samburu, Pokot, Nandi and Kipsigis.",https://en.wikipedia.org/wiki/Kabarnet_Museum,32,4.1
Kariandusi Museum,https://lh5.googleusercontent.com/p/AF1QipNc_e--U-THGAk3nlA4KtRgxU-qtQuxTZ_JHaRH=w464-h260-n-k-no,Museum and history,"Kariandusi prehistoric site is an archaeological site in Kenya. Located on the southeastern edge of the Great Rift Valley and on Lake Elmenteita, Kariandusi is an African Early Stone Age site dating to approximately 1 million years ago.",https://en.wikipedia.org/wiki/Kariandusi_prehistoric_site,66,4.0
National Museums of Kenya-Lamu Museum,https://lh5.googleusercontent.com/p/AF1QipNoUGD522DYtpHr6mQsQ7ipS92_d9bCuNPzj_3A=w464-h260-n-k-no,Museum,"Lamu or Lamu Town is a small town  on Lamu Island, which in turn is a part of the Lamu Archipelago in Kenya. Situated 341 kilometres (212 mi) by road northeast of Mombasa that ends at Mokowe Jetty, from where the sea channel has to be crossed to reach Lamu Island. It is the headquarters of Lamu County and a UNESCO World Heritage site.
The town contains the Lamu Fort on the seafront, constructed under Fumo Madi ibn Abi Bakr, the sultan of Pate, and was completed after his death in the early 1820s. Lamu is also home to 23 mosques, including the Riyadha Mosque, built in 1900, and a donkey sanctuary.

",https://en.wikipedia.org/wiki/Lamu,10,4.7
Nyeri Museum,https://lh5.googleusercontent.com/p/AF1QipNWkGppMv8rRJPieHe4bDtJ7V4L76YZRQHvI7af=w464-h260-n-k-no,Museum,"Nyeri is a town situated in the Central Highlands of Kenya. It is the county headquarters of Nyeri County. The town was the central administrative headquarters of the country's former Central Province. Following the dissolution of the former provinces by Kenya's new constitution on 26 August 2010, the city is situated about 150 km north of Kenya's capital Nairobi, in the country's densely populated and fertile Central Highlands, lying between the eastern base of the Aberdare (Nyandarua) Range, which forms part of the eastern end of the Great Rift Valley, and the western slopes of Mount Kenya.
The city population, according to the 2009 Kenya Population and Housing Census, was estimated at 325,357. However, the number is rapidly growing. There is, however, a significant population of primarily Government and corporate workers who ordinarily reside in Nyeri but who, during the census, choose to be counted in their areas of origin or the areas where their families are residents. The town has a relatively low cost of living in comparison to Nairobi and other major urban centers in Kenya. Located in Kenya's fertile highlands, food and water are plentiful and relatively cheap.Nyeri hosts the tomb of Robert Baden Powell, the founder of the Scout movement. It is also the home town of the late Nobel laureate Wangari Maathai. The town is also the home of the Dedan Kimathi University of Technology (DeKUT), founded by the local community in the early 1970s as an institute of technology, and converted into a fully fledged university in 2012.

",https://en.wikipedia.org/wiki/Nyeri,10,4.3
Desert Museum Loiyangalani,https://lh5.googleusercontent.com/p/AF1QipMqPZRzuJez6jZUQfGRNJm6m2NmsQBgvcf8-GLG=w464-h260-n-k-no,Museum,This is a list of museums in Kenya. Many of these national and provincial museums are administered by the National Museums of Kenya (NMK).,https://en.wikipedia.org/wiki/List_of_museums_in_Kenya,3,4.3
TAMBACH MUSEUM,https://lh5.googleusercontent.com/p/AF1QipOPGUgOBRyn7c_CLhk5peDPjxfLQfAvOlAL4Qx9=w464-h260-n-k-no,Museum,"The Tambach Museum is a museum located in Tambach, Kenya. It is located in the former District Commissioner's residence.",https://en.wikipedia.org/wiki/Tambach_Museum,19,3.4
Safari Walk Children's Museum,https://lh5.googleusercontent.com/p/AF1QipNUiyRRU19CdS9SKPTNH2DypOEPRCVwtJTOj3Xd=w464-h260-n-k-no,Museum,"Holiday World & Splashin' Safari (known as Santa Claus Land prior to 1984) is a combination theme park and water park located near Interstate 64 and U.S. 231 in Santa Claus, Indiana, United States. The theme park is divided into four sections that celebrate Christmas, Halloween, Thanksgiving and the Fourth of July with rides, live entertainment, games, and attractions.
Holiday World contains three wooden roller coasters: The Raven, The Legend, and The Voyage, as well as Thunderbird (a Bolliger & Mabillard launched Wing Coaster) and The Howler. The safari-themed water park includes the world's two longest water coasters, Wildebeest and Guinness World Record Holder Mammoth; additionally, it contains a launched dueling water coaster named Cheetah Chase, numerous family raft rides and water slides, two wave pools, a junior-sized wave pool, two children's-sized water slide areas, a lazy river, and two family ""tipping buckets"".

",https://en.wikipedia.org/wiki/Holiday_World_%26_Splashin%27_Safari,25,4.2
